JMENO,POHLAVI,EKVIVALENC,PAD2,PAD3,PAD4,PAD5,PAD6,PAD7,CLOVEK,ELF,TRPASLIK,HOBIT,KUDUK,BARBAR,KROLL,VALECNIK,HRANICAR,ALCHYMISTA,KOUZELNIK,ZLODEJ
Abondius,M,2859.0,Abondia,Abondiovi,Abondia,Abondie,Abondiovi,Abondiem,1,1,0,1,1,1,0,1,1,1,1,1
Abrad,M,,Abrada,Abradovi,Abrada,Abrade,Abradovi,Abradem,1,0,1,1,1,1,0,1,1,1,1,1
Abraham,M,,Abrahama,Abrahamovi,Abrahama,Abrahame,Abrahamovi,Abrahamem,1,0,0,0,0,1,0,1,1,1,1,1
Abrak-Dabrak,M,1528.0,Abraka-Dabraka,Abrakovi-Dabrakovi,Abraka-Dabraka,Abraku-Dabraku,Abrakovi-Dabrakovi,Abrakem-Dabrakem,1,1,1,1,1,1,1,0,0,0,1,0
Abraka-Dabraka,F,1529.0,Abraky-Dabraky,Abrace-Dabrace,Abraku-Dabraku,Abrako-Dabrako,Abrace-Dabrace,Abrakou-Dabrakou,1,1,1,1,1,1,1,0,0,0,1,0
Abrakadabrak,M,1528.0,Abrakadabraka,Abrakadabrakovi,Abrakadabraka,Abrakadabraku,Abrakadabrakovi,Abrakadabrakem,1,1,1,1,1,1,1,0,0,0,1,0
Abrakadabraka,F,1529.0,Abrakadabraky,Abrakadabrace,Abrakadabraku,Abrakadabrako,Abrakadabrace,Abrakadabrakou,1,1,1,1,1,1,1,0,0,0,1,0
Abrarax,M,3840.0,Abraraxe,Abraraxovi,Abraraxe,Abraraxi,Abraraxovi,Abraraxem,1,1,1,1,1,1,0,1,1,1,1,1
Abrarox,M,3840.0,Abraroxe,Abraroxovi,Abraroxe,Abraroxi,Abraroxovi,Abraroxem,1,1,1,1,1,1,0,1,1,1,1,1
Abraxax,M,3839.0,Abraxaxe,Abraxaxovi,Abraxaxe,Abraxaxi,Abraxaxovi,Abraxaxem,1,1,1,1,1,1,0,1,1,1,1,1
Abraxox,M,3839.0,Abraxoxe,Abraxoxovi,Abraxoxe,Abraxoxi,Abraxoxovi,Abraxoxem,1,1,1,1,1,1,0,1,1,1,1,1
Abriel,F,1429.0,Abriel,Abriel,Abriel,Abriel,Abriel,Abriel,1,1,0,0,0,1,0,1,1,1,1,1
Abriel,M,,Abriela,Abrielovi,Abriela,Abrieli,Abrielovi,Abrielem,1,1,0,0,0,1,0,1,1,1,1,1
Abriela,F,1429.0,Abriely,Abriele,Abrielu,Abrielo,Abriele,Abrielou,1,1,0,1,1,1,0,1,1,1,1,1
Abriele,F,1429.0,Abriele,Abriele,Abriele,Abriele,Abriele,Abriele,1,1,0,0,0,1,0,1,1,1,1,1
Abrielka,F,1429.0,Abrielky,Abrielce,Abrielku,Abrielko,Abrielce,Abrielkou,1,1,0,1,1,1,0,1,1,1,1,1
Abriella,F,1429.0,Abrielly,Abrielle,Abriellu,Abriello,Abrielle,Abriellou,1,1,0,0,0,1,0,1,1,1,1,1
Abrielle,F,1429.0,Abrielle,Abrielle,Abrielle,Abrielle,Abrielle,Abrielle,1,1,0,0,0,1,0,1,1,1,1,1
Abrogio,M,2900.0,Abrogia,Abrogiovi,Abrogia,Abrogio,Abrogiovi,Abrogiem,1,1,1,0,0,1,0,1,1,1,1,1
Abrogius,M,2900.0,Abrogia,Abrogiovi,Abrogia,Abrogie,Abrogiovi,Abrogiem,1,1,1,0,0,1,0,1,1,1,1,1
Absint,M,2016.0,Absinta,Absintovi,Absinta,Absinte,Absintovi,Absintem,1,0,1,1,1,1,0,1,1,1,1,1
Absinth,M,2016.0,Absintha,Absinthovi,Absintha,Absinthe,Absinthovi,Absinthem,1,0,1,1,1,1,0,1,1,1,1,1
Abu,M,2507.0,Abua,Abuovi,Abua,Abu,Abuovi,Abuem,1,0,1,0,0,1,1,1,1,1,1,1
AbŁ,M,2507.0,AbŁa,AbŁovi,AbŁa,AbŁ,AbŁovi,AbŁem,1,0,1,0,0,1,1,1,1,1,1,1
Abuna,F,,Abuny,Abune,Abunu,Abuno,Abune,Abunou,1,1,0,0,0,0,0,1,1,1,1,1
Abura,F,,Abury,Abure,Aburu,Aburo,Abure,Aburou,1,1,0,0,0,0,0,1,1,1,1,1
Aby,F,3186.0,Aby,Aby,Aby,Aby,Aby,Aby,1,1,0,1,1,1,0,1,1,1,1,1
Ach,M,920.0,Acha,Achovi,Acha,Achu,Achovi,Achem,0,0,0,0,0,0,1,1,1,1,1,1
Ach,M,920.0,Acha,Achovi,Acha,Achu,Achovi,Achem,0,0,0,0,0,0,1,1,1,1,1,1
Achab,M,3561.0,Achaba,Achabovi,Achaba,Achabe,Achabovi,Achabem,1,0,1,1,1,1,1,1,1,1,1,1
Acheron,F,,Acheron,Acheron,Acheron,Acheron,Acheron,Acheron,0,1,0,0,0,0,0,1,1,1,1,1
Acheron,M,,Acherona,Acheronovi,Acherona,Acherone,Acheronovi,Acheronem,1,1,0,0,0,0,0,1,1,1,1,1
Achich,M,3189.0,Achicha,Achichovi,Achicha,Achichu,Achichovi,Achichem,0,0,0,0,0,0,1,1,1,1,1,1
Achich,M,3189.0,Achicha,Achichovi,Achicha,Achichu,Achichovi,Achichem,0,0,0,0,0,0,1,1,1,1,1,1
Achiles,M,1430.0,Achila,Achilovi,Achila,Achile,Achilovi,Achilem,1,1,0,0,0,1,0,1,1,1,1,1
Achille,M,1430.0,Achilleho,Achillemu,Achilleho,Achille,Achillem,Achillem,1,1,0,0,0,1,0,1,1,1,1,1
Achilles,M,1430.0,Achilla,Achillovi,Achilla,Achille,Achillovi,Achillem,1,1,0,0,0,1,0,1,1,1,1,1
Achilleus,M,1430.0,Achillea,Achilleovi,Achillea,Achillee,Achilleovi,Achilleem,1,1,0,0,0,1,0,1,1,1,1,1
Achmad,M,2017.0,Achmada,Achmadovi,Achmada,Achmade,Achmadovi,Achmadem,1,0,1,1,1,1,0,1,1,1,1,1
Achmed,M,2017.0,Achmeda,Achmedovi,Achmeda,Achmede,Achmedovi,Achmedem,1,0,1,1,1,1,0,1,1,1,1,1
Achron,M,1565.0,Achrona,Achronovi,Achrona,Achrone,Achronovi,Achronem,1,1,1,1,1,1,0,1,1,1,1,1
Acikles,M,1530.0,Acikla,Aciklovi,Acikla,Acikle,Aciklovi,Aciklem,1,1,0,0,0,0,0,1,1,1,1,1
Acikleus,M,1530.0,Aciklea,Acikleovi,Aciklea,Aciklee,Acikleovi,Acikleem,1,1,0,0,0,0,0,1,1,1,1,1
Ackbar,M,,Ackbara,Ackbarovi,Ackbara,Ackbare,Ackbarovi,Ackbarem,1,0,1,0,1,1,0,1,1,1,1,1
Ackbara,F,1431.0,Ackbary,Ackbare,Ackbaru,Ackbaro,Ackbare,Ackbarou,1,0,1,0,1,1,0,1,1,1,1,1
Ackbaria,F,1431.0,Ackbarie,Ackbarie,Ackbariu,Ackbario,Ackbarie,Ackbariou,1,1,0,0,0,0,0,1,1,1,1,1
Ackbarie,F,1431.0,Ackbarie,Ackbarii,Ackbarii,Ackbarie,Ackbarii,AckbariĄ,1,0,1,0,0,1,0,1,1,1,1,1
Acorn,M,3251.0,Acorna,Acornovi,Acorna,Acorne,Acornovi,Acornem,1,1,0,0,0,1,0,1,1,1,1,1
Acrhon,M,,Acrhona,Acrhonovi,Acrhona,Acrhone,Acrhonovi,Acrhonem,1,1,1,1,1,1,0,1,1,1,1,1
Acron,F,1564.0,Acron,Acron,Acron,Acron,Acron,Acron,1,1,0,0,0,0,0,1,1,1,1,1
Acron,M,1565.0,Acrona,Acronovi,Acrona,Acrone,Acronovi,Acronem,1,1,0,0,0,0,0,1,1,1,1,1
Acronia,F,1564.0,Acronie,Acronie,Acroniu,Acronio,Acronie,Acroniou,1,1,0,0,0,0,0,1,1,1,1,1
Ada,F,1533.0,Ady,Ade,Adu,Ado,Ade,Adou,1,1,0,0,1,1,1,1,1,1,1,1
Ada,F,1538.0,Adi,Ade,Adu,Ado,Ade,Adou,1,0,0,1,1,1,0,1,1,1,1,1
Ada,M,1432.0,Ady,Adovi,Adu,Ado,Adovi,Adou,1,0,0,1,1,1,1,1,1,1,1,1
Adaenedhel,F,1531.0,Adaenedhel,Adaenedhel,Adaenedhel,Adaenedhel,Adaenedhel,Adaenedhel,0,1,0,0,0,0,0,1,1,1,1,1
Adaenedhel,M,1532.0,Adaenedhela,Adaenedhelovi,Adaenedhela,Adaenedhele,Adaenedhelovi,Adaenedhelem,0,1,0,0,0,0,0,1,1,1,1,1
Adaia,F,3624.0,Adaie,Adaie,Adaiu,Adaio,Adaie,Adaiou,1,1,0,0,0,1,0,1,1,1,1,1
Adaja,F,3624.0,Adaji,Adaje,Adaju,Adajo,Adaje,Adajou,1,1,0,1,1,1,0,1,1,1,1,1
Adajja,F,3624.0,Adajji,Adajje,Adajju,Adajjo,Adajje,Adajjou,1,1,0,0,0,1,0,1,1,1,1,1
Adalbert,M,,Adalberta,Adalbertovi,Adalberta,Adalberte,Adalbertovi,Adalbertem,1,1,1,1,1,1,0,1,1,1,1,1
Adalberta,F,,Adalberty,Adalberte,Adalbertu,Adalberto,Adalberte,Adalbertou,1,1,1,1,1,1,0,1,1,1,1,1
Adaldrida,F,,Adaldridy,Adaldride,Adaldridy,Adaldrido,Adaldride,Adaldridou,1,0,0,1,0,0,0,1,1,1,1,1
Adalgrim,M,,Adalgrima,Adalgrimovi,Adalgrima,Adalgrime,Adalgrimovi,Adalgrimem,1,1,1,1,1,1,0,1,1,1,1,1
Adalgrima,F,,Adalgrimy,Adalgrime,Adalgrimu,Adalgrimo,Adalgrime,Adalgrimou,1,1,1,1,1,1,0,1,1,1,1,1
Adalheit,M,,Adalheita,Adalheitovi,Adalheita,Adalheite,Adalheitovi,Adalheiterm,1,0,0,0,0,1,0,1,1,1,1,1
Adalia,F,1433.0,Adalie,Adalie,Adaliu,Adalio,Adalie,Adaliou,1,1,0,0,0,1,0,1,1,1,1,1
Adalie,F,1433.0,Adalie,Adalii,Adalii,Adalie,Adalii,AdaliĄ,1,1,0,1,1,1,0,1,1,1,1,1
Ad lie,F,1433.0,Ad lie,Ad lii,Ad lii,Ad lie,Ad lii,Ad liĄ,1,1,0,1,1,1,0,1,1,1,1,1
Adam,M,1432.0,Adama,Adamovi,Adama,Adame,Adamovi,Adamem,1,0,0,0,0,1,0,1,1,1,1,1
Adamad,F,3574.0,Adamad,Adamad,Adamad,Adamad,Adamad,Adamad,1,1,1,0,0,1,0,1,1,1,1,1
Adamad,M,,Adamada,Adamadovi,Adamada,Adamade,Adamadovi,Adamadem,1,1,1,0,1,1,0,1,1,1,1,1
Adamada,F,3574.0,Adamady,Adamade,Adamadu,Adamado,Adamade,Adamadou,1,1,1,0,1,1,0,1,1,1,1,1
Adamade,F,3574.0,Adamade,Adamade,Adamade,Adamade,Adamade,Adamade,1,1,1,0,0,1,0,1,1,1,1,1
Adamanta,F,3190.0,Adamanty,Adamante,Adamantu,Adamanto,Adamante,Adamantou,1,1,0,1,1,1,0,1,1,1,1,1
Adamante,F,3190.0,Adamante,Adamante,Adamante,Adamante,Adamante,Adamante,1,1,0,0,0,1,0,1,1,1,1,1
Adamant,F,3190.0,Adamant,Adamant,Adamant,Adamant,Adamant,Adamant,0,1,0,0,0,0,0,1,1,1,1,1
Adamas,M,1432.0,Adamase,Adamasovi,Adamase,Adamasi,Adamasovi,Adamasem,1,0,0,1,1,1,0,1,1,1,1,1
Adams,M,,Adamse,Adamsovi,Adamse,Adamsi,Adamsovi,Adamsem,1,0,0,0,0,1,0,1,1,1,1,1
Adanedhel,F,1531.0,Adanedhel,Adanedhel,Adanedhel,Adanedhel,Adanedhel,Adanedhel,0,1,0,0,0,0,0,1,1,1,1,1
Adanedhel,M,1532.0,Adanedhela,Adanedhelovi,Adanedhela,Adanedhele,Adanedhelovi,Adanedhelem,0,1,0,0,0,0,0,1,1,1,1,1
Adar,M,,Adara,Adarovi,Adara,Adare,Adarovi,Adarem,1,1,0,0,0,1,1,1,1,1,1,1
Adarel,M,,Adarela,Adarelovi,Adarela,Adarele,Adarelovi,Adarelem,1,1,1,1,1,1,0,1,1,1,1,1
Adarela,F,,Adarely,Adarele,Adarelu,Adarelo,Adarele,Adarelou,1,1,1,1,1,1,0,1,1,1,1,1
Adax,M,,Adaxe,Adaxovi,Adaxe,Adaxi,Adaxovi,Adaxem,1,1,0,0,1,1,0,1,1,1,1,1
Adda,F,1533.0,Addy,Adde,Addu,Addo,Adde,Addou,1,0,0,0,0,1,0,1,1,1,1,1
Addison,M,3609.0,Addisona,Addisonovi,Addisona,Addisone,Addisonovi,Addisonem,1,1,1,0,0,1,0,1,1,1,1,1
Addisson,M,3609.0,Addissona,Addissonovi,Addissona,Addissone,Addissonovi,Addissonem,1,1,1,0,0,1,0,1,1,1,1,1
Addolorata,F,2897.0,Addoloraty,Addolorate,Addoloratu,Addolorato,Addolorate,Addoloratou,1,1,1,0,0,1,0,1,1,1,1,1
Addolor ta,F,2897.0,Addolor ty,Addolor te,Addolor tu,Addolor to,Addolor te,Addolor tou,1,1,1,0,0,1,0,1,1,1,1,1
Addy,F,1533.0,Addy,Addy,Addy,Addy,Addy,Addy,1,0,0,0,0,1,0,1,1,1,1,1
Adla,F,1534.0,Adly,Adle,Adlu,Adlo,Adle,Adlou,1,0,0,1,1,1,1,1,1,1,1,1
Adelaida,F,2860.0,Adelaidy,Adelaide,Adelaidu,Adelaido,Adelaide,Adelaidou,1,1,0,1,1,1,0,1,1,1,1,1
Adelaide,F,2860.0,Adelaide,Adelaide,Adelaide,Adelaide,Adelaide,Adelaide,1,1,0,0,0,1,0,1,1,1,1,1
Adelaid,F,2860.0,Adelaid,Adelaid,Adelaid,Adelaid,Adelaid,Adelaid,0,1,0,0,0,0,0,1,1,1,1,1
Adelard,M,,Adelarda,Adeladrovi,Adelarda,Adelarde,Adelardovi,Adelardem,1,0,0,1,0,1,0,1,1,1,1,1
Adlka,F,1534.0,Adlky,Adlce,Adlku,Adlko,Adlce,Adlkou,1,0,0,1,0,0,0,1,1,1,1,1
Adelton,M,3746.0,Adeltona,Adeltonovi,Adeltona,Adeltone,Adeltonovi,Adeltonem,1,1,1,1,1,1,0,1,1,1,1,1
Adelt˘n,M,3746.0,Adelt˘na,Adelt˘novi,Adelt˘na,Adelt˘ne,Adelt˘novi,Adelt˘nem,1,1,1,1,1,1,0,1,1,1,1,1
Adelton,M,3746.0,Adeltona,Adeltonovi,Adeltona,Adeltone,Adeltonovi,Adeltonem,1,1,1,1,1,1,0,1,1,1,1,1
Adelt˘n,M,3746.0,Adelt˘na,Adelt˘novi,Adelt˘na,Adelt˘ne,Adelt˘novi,Adelt˘nem,1,1,1,1,1,1,0,1,1,1,1,1
Ader,M,,Adera,Aderovi,Adera,Adere,Aderovi,Aderem,1,0,0,1,1,1,1,1,1,1,1,1
Aderia,F,1535.0,Aderie,Aderie,Aderiu,Aderio,Aderie,Aderiou,1,1,0,0,0,0,0,1,1,1,1,1
Aderie,F,1535.0,Aderie,Aderii,Aderii,Aderie,Aderii,AderiĄ,1,1,0,1,1,1,0,1,1,1,1,1
Adrie,F,1535.0,Adrie,Adrii,Adrii,Adrie,Adrii,AdriĄ,1,1,0,1,1,1,0,1,1,1,1,1
Adernach,M,,Adernacha,Adernachovi,Adernacha,Adernachu,Adernachovi,Adernachem,1,1,0,0,1,1,0,1,1,1,1,1
Aderon,M,,Aderona,Aderonovi,Aderona,Aderone,Aderonovi,Aderonem,1,1,1,0,1,1,0,1,1,1,1,1
Aderx,M,2020.0,Aderxe,Aderxovi,Aderxe,Aderxi,Aderxovi,Aderxem,1,1,1,0,0,1,0,1,1,1,1,1
Aderxa,F,2021.0,Aderxy,Aderxe,Aderxu,Aderxo,Aderxe,Aderxou,1,1,1,0,0,1,0,1,1,1,1,1
Aderxia,F,2021.0,Aderxie,Aderxie,Aderxiu,Aderxio,Aderxie,Aderxiou,1,1,1,0,0,1,0,1,1,1,1,1
Aderxie,F,2021.0,Aderxie,Aderxii,Aderxii,Aderxie,Aderxii,AderxiĄ,1,1,1,0,0,1,0,1,1,1,1,1
Adikia,F,,Adikie,Adikie,Adikii,Adikio,Adikie,Adikiou,1,1,0,0,0,0,0,1,1,1,1,1
Adikita,F,,Adikity,Adikite,Adikitu,Adikito,Adikite,Adikitou,1,0,0,0,0,1,0,1,1,1,1,1
Adison,M,3609.0,Adisona,Adisonovi,Adisona,Adisone,Adisonovi,Adisonem,1,1,1,1,1,1,0,1,1,1,1,1
Adisson,M,3609.0,Adissona,Adissonovi,Adissona,Adissone,Adissonovi,Adissonem,1,1,1,0,0,1,0,1,1,1,1,1
Adista,F,,Adisty,Adiste,Adistu,Adisto,Adiste,Adistou,1,1,1,0,0,1,0,1,1,1,1,1
Adjani,F,3235.0,Adjani,Adjani,Adjani,Adjani,Adjani,Adjani,1,1,0,0,0,1,0,1,1,1,1,1
Adjani,M,,Adjaniho,Adjanimu,Adjaniho,Adjani,Adjanim,Adjanim,1,1,0,0,0,1,0,1,1,1,1,1
Adjania,F,3235.0,Adjanie,Adjanie,Adjaniu,Adjanio,Adjanie,Adjaniou,1,1,0,0,0,1,0,1,1,1,1,1
Adjanie,F,3235.0,Adjanie,Adjanii,Adjanii,Adjanie,Adjanii,AdjaniĄ,1,1,0,0,0,1,0,1,1,1,1,1
Adken,M,,Adkena,Adkenovi,Adkena,Adkene,Adkenovi,Adkenem,0,0,0,0,0,0,1,1,1,1,1,1
Adment,M,1536.0,Admenta,Admentovi,Admenta,Admente,Admentovi,Admentem,1,0,0,1,1,1,0,1,1,1,1,1
Admentes,M,1536.0,Admenta,Admentovi,Admenta,Admente,Admentovi,Admentem,1,1,0,0,0,0,0,1,1,1,1,1
Admentos,M,1536.0,Admenta,Admentovi,Admenta,Admente,Admentovi,Admentem,1,1,0,0,0,0,0,1,1,1,1,1
Admentus,M,1536.0,Admenta,Admentovi,Admenta,Admente,Admentovi,Admentem,1,1,0,0,0,0,0,1,1,1,1,1
Adolf,M,2861.0,Adolfa,Adolfovi,Adolfa,Adolfe,Adolfovi,Adolfem,1,0,0,1,1,1,1,1,1,1,1,1
Adolfo,M,2861.0,Adolfa,Adolfovi,Adolfa,Adolfo,Adolfovi,Adolfem,1,0,0,1,1,1,0,1,1,1,1,1
Adolorata,F,2897.0,Adoloraty,Adolorate,Adoloratu,Adolorato,Adolorate,Adoloratou,1,1,1,1,1,1,0,1,1,1,1,1
Adolor ta,F,2897.0,Adolor ty,Adolor te,Adolor tu,Adolor to,Adolor te,Adolor tou,1,1,1,1,1,1,0,1,1,1,1,1
Adolph,M,2861.0,Adolpha,Adolphovi,Adolpha,Adolphe,Adolphovi,Adolphem,1,0,0,1,1,1,0,1,1,1,1,1
Adom,M,,Adoma,Adomovi,Adoma,Adome,Adomovi,Adomem,1,0,1,0,1,1,1,1,1,1,1,1
Adonai,F,3191.0,Adonai,Adonai,Adonai,Adonai,Adonai,Adonai,1,1,0,0,0,0,0,1,1,1,1,1
Adonaia,F,3191.0,Adonaie,Adonaie,Adonaiu,Adonaio,Adonaie,Adonaiou,1,1,0,0,0,0,0,1,1,1,1,1
Adonay,F,3191.0,Adonay,Adonay,Adonay,Adonay,Adonay,Adonay,1,1,0,0,0,0,0,1,1,1,1,1
Adonay,M,,Adonaye,Adonayovi,Adonaye,Adonayi,Adonayovi,Adonayem,1,1,0,0,0,1,0,1,1,1,1,1
Adonis,F,3193.0,Adonis,Adonis,Adonis,Adonis,Adonis,Adonis,1,1,0,1,1,1,0,1,1,1,1,1
Adonis,M,3192.0,Adonise,Adonisovi,Adonise,Adonisi,Adonisovi,Adonisem,1,1,0,1,1,1,0,1,1,1,1,1
Ad˘nis,F,3193.0,Ad˘nis,Ad˘nis,Ad˘nis,Ad˘nis,Ad˘nis,Ad˘nis,1,1,0,1,1,1,0,1,1,1,1,1
Ad˘nis,M,3192.0,Ad˘nise,Ad˘nisovi,Ad˘nise,Ad˘nisi,Ad˘nisovi,Ad˘nisem,1,1,0,1,1,1,0,1,1,1,1,1
Ador,M,,Adora,Adorovi,Adora,Adore,Adorovi,Adorem,1,0,0,0,0,1,1,1,1,1,1,1
Adora,F,2083.0,Adory,Adore,Adoru,Adoro,Adore,Adorou,1,1,1,1,1,1,0,1,1,1,1,1
Adoray,M,,Adoraye,Adorayovi,Adoraye,Adorayi,Adorayovi,Adorayem,1,1,0,0,0,1,0,1,1,1,1,1
Adoria,F,2083.0,Adorie,Adorie,Adoriu,Adorio,Adorie,Adoriou,1,1,0,0,0,1,0,1,1,1,1,1
Adorie,F,2083.0,Adorie,Adorii,Adorii,Adorie,Adorii,AdoriĄ,1,1,1,1,1,1,0,1,1,1,1,1
Adormadir,M,,Adormadira,Adormadirovi,Adormadira,Adormadire,Adormadirovi,Adormadirem,1,1,1,0,0,1,0,1,1,1,1,1
Adormadira,F,,Adormadiry,Adormadire,Adormadiru,Adormadiro,Adormadire,Adormadirou,1,1,1,0,0,1,0,1,1,1,1,1
Adra,F,,Adry,Adre,Adru,Adro,Adre,Adrou,1,1,1,1,1,1,1,1,1,1,1,1
Adrex,M,2020.0,Adrexe,Adrexovi,Adrexe,Adrexi,Adrexovi,Adrexem,1,1,1,0,0,1,0,1,1,1,1,1
Adrexa,F,2021.0,Adrexy,Adrexe,Adrexu,Adrexo,Adrexe,Adrexou,1,1,1,0,0,1,0,1,1,1,1,1
